Player,Team,Pos,Injury,Status,Est. Return
Sergio Aguero,MCI,F,Knee,GTD,Subscribers Only
Thiago Alcantara,LIV,M,Illness,GTD,Subscribers Only
Daniel Amartey,LEI,M/D,Hamstring,OUT,Subscribers Only
Joachim Andersen,FUL,D,Ankle,OUT,Subscribers Only
Florin Andone,BHA,F,Knee,OUT,Subscribers Only
Stuart Armstrong,SOU,M,Illness,OUT,Subscribers Only
Pierre-Emerick Aubameyang,ARS,F/M,Ankle,GTD,Subscribers Only
Gareth Bale,TOT,F/M,Knee,GTD,Subscribers Only
Alisson Becker,LIV,G,Shoulder,OUT,Subscribers Only
Adrian Bernabe,MCI,M,Lower Leg,OUT,Subscribers Only
Robbie Brady,BRN,M,Ribs,OUT,Subscribers Only
Jarrad Branthwaite,EVE,D,Ankle,OUT,Subscribers Only
Oliver Burke,SHU,F,Undisclosed,GTD,Subscribers Only
Gary Cahill,CRY,D,Hamstring,GTD,Subscribers Only
Jonny,WOL,M/D,Knee,OUT,Subscribers Only
Edinson Cavani,MUN,F,Not Injury Related,OUT,Subscribers Only
Calum Chambers,ARS,M/D,Knee,OUT,Subscribers Only
Ben Chilwell,CHE,D,Foot,GTD,Subscribers Only
Ciaran Clark,NEW,D,Thigh,OUT,Subscribers Only
Seamus Coleman,EVE,D,Hamstring,GTD,Subscribers Only
Aaron Connolly,BHA,F,Undisclosed,GTD,Subscribers Only
Liam Cooper,LEE,D,Groin,GTD,Subscribers Only
Jack Cork,BRN,M,Ankle,OUT,Subscribers Only
Richarlison,EVE,F,Ankle,GTD,Subscribers Only
Kevin De Bruyne,MCI,M,Leg,OUT,Subscribers Only
Eric Dier,TOT,D,Hamstring,GTD,Subscribers Only
Lucas Digne,EVE,D,Knee,GTD,Subscribers Only
Issa Diop,WHU,D,Illness,GTD,Subscribers Only
Moussa Djenepo,SOU,F/M,Hamstring,OUT,Subscribers Only
Martin Dubravka,NEW,G,Heel,OUT,Subscribers Only
Paul Dummett,NEW,D,Undisclosed,OUT,Subscribers Only
John Egan,SHU,D,Not Injury Related,GTD,Subscribers Only
Bjorn Engels,AVL,D,Thigh,OUT,Subscribers Only
Jonny Evans,LEI,D,Abdomen,GTD,Subscribers Only
Nathan Ferguson,CRY,M,Knee,OUT,Subscribers Only
John Fleck,SHU,M,Back,GTD,Subscribers Only
Adam Forshaw,LEE,M,Hip,GTD,Subscribers Only
Ryan Fredericks,WHU,D,Hamstring,GTD,Subscribers Only
Dwight Gayle,NEW,F,Knee,OUT,Subscribers Only
Jean-Philippe Gbamin,EVE,M,Achilles,OUT,Subscribers Only
Billy Gilmour,CHE,M,Knee,OUT,Subscribers Only
Andre Gomes,EVE,M,Undisclosed,GTD,Subscribers Only
Demarai Gray,LEI,F/M,Illness,GTD,Subscribers Only
Johann Berg Gudmundsson,BRN,M,Groin,GTD,Subscribers Only
Ilkay Gundogan,MCI,M,Illness,GTD,Subscribers Only
Kortney Hause,AVL,D,Undisclosed,GTD,Subscribers Only
Tom Heaton,AVL,G,Knee,OUT,Subscribers Only
Ahmed Hegazi,WBA,D,Hamstring,GTD,Subscribers Only
Wayne Hennessey,CRY,G,Undisclosed,OUT,Subscribers Only
Pablo Hernandez,LEE,M,Groin,GTD,Subscribers Only
Mason Holgate,EVE,D,Toe,OUT,Subscribers Only
Jose Izquierdo,BHA,F/M,Knee,OUT,Subscribers Only
Alireza Jahanbakhsh,BHA,F,Hamstring,OUT,Subscribers Only
Daniel James,MUN,F,Rest,GTD,Subscribers Only
Gabriel Jesus,MCI,F,Strain,OUT,Subscribers Only
Phil Jones,MUN,D,Undisclosed,OUT,Subscribers Only
Naby Keita,LIV,M,Illness,OUT,Subscribers Only
Jonjoe Kenny,EVE,D,Ankle,OUT,Subscribers Only
Tariq Lamptey,BHA,M/D,Hamstring,GTD,Subscribers Only
Jamaal Lascelles,NEW,D,Undisclosed,GTD,Subscribers Only
Mario Lemina,FUL,M,Undisclosed,GTD,Subscribers Only
Jamal Lewis,NEW,D,Achilles,GTD,Subscribers Only
Diego Llorente,LEE,D,Groin,OUT,Subscribers Only
Giovani Lo Celso,TOT,M,Thigh,OUT,Subscribers Only
Kevin Long,BRN,D,Eye,GTD,Subscribers Only
Matthew Longstaff,NEW,M,Thigh,OUT,Subscribers Only
Matthew Lowton,BRN,D,Undisclosed,OUT,Subscribers Only
James Maddison,LEI,M,Hip,GTD,Subscribers Only
Harry Maguire,MUN,D,Undisclosed,GTD,Subscribers Only
Sadio Mane,LIV,F/M,Illness,GTD,Subscribers Only
Fernando Marcal,WOL,M/D,Calf,GTD,Subscribers Only
Pablo Mari,ARS,D,Ankle,OUT,Subscribers Only
Allan,EVE,M,Groin,GTD,Subscribers Only
Anthony Martial,MUN,F,Suspension,SUS,Subscribers Only
Gabriel Martinelli,ARS,F/M,Knee,OUT,Subscribers Only
Arthur Masuaku,WHU,D,Knee,GTD,Subscribers Only
Joel Matip,LIV,D,Strain,GTD,Subscribers Only
James McCarthy,CRY,M,Strain,OUT,Subscribers Only
David McGoldrick,SHU,F,Hip,GTD,Subscribers Only
Ben Mee,BRN,D,Thigh,OUT,Subscribers Only
Edouard Mendy,CHE,G,Thigh,OUT,Subscribers Only
Yerry Mina,EVE,D,Thigh,GTD,Subscribers Only
Wesley Moraes,AVL,F,Knee,OUT,Subscribers Only
Wes Morgan,LEI,D,Back,GTD,Subscribers Only
Lys Mousset,SHU,F,Toe,OUT,Subscribers Only
Shkodran Mustafi,ARS,D,Hamstring,OUT,Subscribers Only
Wilfred Ndidi,LEI,M,Groin,OUT,Subscribers Only
Jack O'Connell,SHU,D,Knee,OUT,Subscribers Only
Alex Oxlade-Chamberlain,LIV,M,Knee,OUT,Subscribers Only
Sokratis,ARS,D,Calf,GTD,Subscribers Only
Ricardo Pereira,LEI,M/D,Knee,OUT,Subscribers Only
Dennis Praet,LEI,M,Knee,GTD,Subscribers Only
Davy Propper,BHA,M,Achilles,GTD,Subscribers Only
Harrison Reed,FUL,M,Undisclosed,OUT,Subscribers Only
Matt Ritchie,NEW,M/D,Shoulder,OUT,Subscribers Only
